Product,Sensor 8 in,Sensor 8 out,Sensor 7 in,Sensor 7 out,Sensor 6 in,Sensor 6 out,Sensor 5 in,Sensor 5 out,Sensor 4 in,Sensor 4 out,Sensor 3 in,Sensor 3 out,Sensor 2 in,Sensor 2 out,Sensor 1 in,Sensor 1 out
11,11/4/2022 7:44,11/4/2022 7:47,11/4/2022 7:44,11/4/2022 7:47,11/4/2022 7:44,11/4/2022 7:47,11/4/2022 7:44,11/4/2022 7:47,11/4/2022 7:39,11/4/2022 7:42,11/4/2022 7:48,11/4/2022 7:48,11/4/2022 7:45,11/4/2022 7:46,11/4/2022 7:35,11/4/2022 7:35
12,11/4/2022 7:47,11/4/2022 7:50,11/4/2022 7:47,11/4/2022 7:50,11/4/2022 7:47,11/4/2022 7:50,11/4/2022 7:47,11/4/2022 7:50,11/4/2022 7:42,11/4/2022 7:45,11/4/2022 7:51,11/4/2022 7:51,11/4/2022 7:49,11/4/2022 7:49,11/4/2022 7:39,11/4/2022 7:39
13,11/4/2022 7:50,11/4/2022 7:53,11/4/2022 7:50,11/4/2022 7:53,11/4/2022 7:50,11/4/2022 7:53,11/4/2022 7:50,11/4/2022 7:53,11/4/2022 7:45,11/4/2022 7:48,11/4/2022 7:54,11/4/2022 7:55,11/4/2022 7:52,11/4/2022 7:52,11/4/2022 7:42,11/4/2022 7:42
14,11/4/2022 7:53,11/4/2022 7:56,11/4/2022 7:53,11/4/2022 7:56,11/4/2022 7:53,11/4/2022 7:56,11/4/2022 7:53,11/4/2022 7:56,11/4/2022 7:48,11/4/2022 7:51,11/4/2022 7:57,11/4/2022 7:58,11/4/2022 7:55,11/4/2022 7:55,11/4/2022 7:45,11/4/2022 7:45
15,11/4/2022 7:56,11/4/2022 7:59,11/4/2022 7:56,11/4/2022 7:59,11/4/2022 7:56,11/4/2022 7:59,11/4/2022 7:56,11/4/2022 7:59,11/4/2022 7:51,11/4/2022 7:54,11/4/2022 8:00,11/4/2022 8:01,11/4/2022 7:58,11/4/2022 7:58,11/4/2022 7:48,11/4/2022 7:48
16,11/4/2022 7:59,11/4/2022 8:02,11/4/2022 7:59,11/4/2022 8:02,11/4/2022 7:59,11/4/2022 8:02,11/4/2022 7:59,11/4/2022 8:02,11/4/2022 7:54,11/4/2022 7:54,11/4/2022 8:04,11/4/2022 8:04,11/4/2022 8:01,11/4/2022 8:01,11/4/2022 7:48,11/4/2022 7:48
17,11/4/2022 8:04,11/4/2022 8:07,11/4/2022 8:04,11/4/2022 8:08,11/4/2022 8:04,11/4/2022 8:08,11/4/2022 8:04,11/4/2022 8:08,11/4/2022 7:54,11/4/2022 7:57,11/4/2022 8:09,11/4/2022 8:09,11/4/2022 8:04,11/4/2022 8:04,11/4/2022 7:48,11/4/2022 7:48
18,11/4/2022 8:08,11/4/2022 8:11,11/4/2022 8:08,11/4/2022 8:11,11/4/2022 8:08,11/4/2022 8:11,11/4/2022 8:08,11/4/2022 8:11,11/4/2022 7:57,11/4/2022 8:00,11/4/2022 8:12,11/4/2022 8:12,11/4/2022 8:10,11/4/2022 8:10,11/4/2022 7:51,11/4/2022 7:52
19,11/4/2022 8:11,11/4/2022 8:14,11/4/2022 8:11,11/4/2022 8:14,11/4/2022 8:11,11/4/2022 8:14,11/4/2022 8:11,11/4/2022 8:14,11/4/2022 8:01,11/4/2022 8:03,11/4/2022 8:15,11/4/2022 8:16,11/4/2022 8:13,11/4/2022 8:13,11/4/2022 7:55,11/4/2022 7:55
20,11/4/2022 8:14,11/4/2022 8:17,11/4/2022 8:14,11/4/2022 8:17,11/4/2022 8:14,11/4/2022 8:17,11/4/2022 8:14,11/4/2022 8:17,11/4/2022 8:06,11/4/2022 8:09,11/4/2022 8:18,11/4/2022 8:19,11/4/2022 8:16,11/4/2022 8:16,11/4/2022 7:58,11/4/2022 7:58
21,11/4/2022 8:17,11/4/2022 8:20,11/4/2022 8:17,11/4/2022 8:20,11/4/2022 8:17,11/4/2022 8:20,11/4/2022 8:17,11/4/2022 8:20,11/4/2022 8:09,11/4/2022 8:09,11/4/2022 8:22,11/4/2022 8:22,11/4/2022 8:19,11/4/2022 8:19,11/4/2022 7:58,11/4/2022 7:58
22,11/4/2022 8:20,11/4/2022 8:23,11/4/2022 8:20,11/4/2022 8:23,11/4/2022 8:20,11/4/2022 8:24,11/4/2022 8:21,11/4/2022 8:24,11/4/2022 8:09,11/4/2022 8:09,11/4/2022 8:25,11/4/2022 8:25,11/4/2022 8:22,11/4/2022 8:22,11/4/2022 8:01,11/4/2022 8:01
23,11/4/2022 8:24,11/4/2022 8:27,11/4/2022 8:24,11/4/2022 8:27,11/4/2022 8:24,11/4/2022 8:27,11/4/2022 8:24,11/4/2022 8:27,11/4/2022 8:09,11/4/2022 8:12,11/4/2022 8:28,11/4/2022 8:28,11/4/2022 8:25,11/4/2022 8:26,11/4/2022 8:04,11/4/2022 8:04
24,11/4/2022 8:27,11/4/2022 8:30,11/4/2022 8:27,11/4/2022 8:30,11/4/2022 8:27,11/4/2022 8:30,11/4/2022 8:27,11/4/2022 8:30,11/4/2022 8:12,11/4/2022 8:15,11/4/2022 8:31,11/4/2022 8:31,11/4/2022 8:28,11/4/2022 8:29,11/4/2022 8:09,11/4/2022 8:09
25,11/4/2022 8:38,11/4/2022 8:41,11/4/2022 8:38,11/4/2022 8:41,11/4/2022 8:38,11/4/2022 8:41,11/4/2022 8:38,11/4/2022 8:41,11/4/2022 8:15,11/4/2022 8:18,11/4/2022 8:42,11/4/2022 8:42,11/4/2022 8:31,11/4/2022 8:32,11/4/2022 8:12,11/4/2022 8:12
26,11/4/2022 8:41,11/4/2022 8:44,11/4/2022 8:41,11/4/2022 8:44,11/4/2022 8:41,11/4/2022 8:44,11/4/2022 8:41,11/4/2022 8:44,11/4/2022 8:18,11/4/2022 8:21,11/4/2022 8:45,11/4/2022 8:45,11/4/2022 8:42,11/4/2022 8:43,11/4/2022 8:12,11/4/2022 8:13
27,11/4/2022 8:45,11/4/2022 8:48,11/4/2022 8:45,11/4/2022 8:48,11/4/2022 8:45,11/4/2022 8:48,11/4/2022 8:45,11/4/2022 8:48,11/4/2022 8:22,11/4/2022 8:25,11/4/2022 8:49,11/4/2022 8:49,11/4/2022 8:46,11/4/2022 8:46,11/4/2022 8:16,11/4/2022 8:16
28,11/4/2022 8:48,11/4/2022 8:51,11/4/2022 8:48,11/4/2022 8:51,11/4/2022 8:48,11/4/2022 8:51,11/4/2022 8:48,11/4/2022 8:51,11/4/2022 8:25,11/4/2022 8:28,11/4/2022 8:52,11/4/2022 8:52,11/4/2022 8:49,11/4/2022 8:50,11/4/2022 8:22,11/4/2022 8:22
29,,,,,,,,,11/4/2022 8:28,11/4/2022 8:31,,,,,11/4/2022 8:25,11/4/2022 8:25
30,,,,,,,,,11/4/2022 8:39,11/4/2022 8:42,,,,,11/4/2022 8:28,11/4/2022 8:28
31,,,,,,,,,11/4/2022 8:42,11/4/2022 8:45,,,,,11/4/2022 8:31,11/4/2022 8:31
32,,,,,,,,,11/4/2022 8:46,11/4/2022 8:49,,,,,11/4/2022 8:42,11/4/2022 8:42
33,,,,,,,,,11/4/2022 8:49,11/4/2022 8:52,,,,,11/4/2022 8:42,11/4/2022 8:42
34,,,,,,,,,,,,,,,11/4/2022 8:46,11/4/2022 8:46
35,,,,,,,,,,,,,,,11/4/2022 8:46,11/4/2022 8:46
36,,,,,,,,,,,,,,,11/4/2022 8:49,11/4/2022 8:49
37,,,,,,,,,,,,,,,11/4/2022 8:52,11/4/2022 8:52
38,,,,,,,,,,,,,,,11/4/2022 8:52,11/4/2022 8:52
39,,,,,,,,,,,,,,,,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,,,,,,,,,,,,
65,,,,,,,,,,,,,,,,
66,,,,,,,,,,,,,,,,
67,,,,,,,,,,,,,,,,
68,,,,,,,,,,,,,,,,
69,,,,,,,,,,,,,,,,
70,,,,,,,,,,,,,,,,
71,,,,,,,,,,,,,,,,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,
